Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2050","SAVOLA GROUP","Consumer Staples","Equity","75,276.90","0.04","75,276.90","6,703.00","-","SA0007879162","B133RS9","11.23","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR"
"SNGS","SURGUTNEFTEGAZ","Energy","Equity","75,032.17","0.04","75,032.17","147,122.00","-","RU0008926258","B5BHQP1","0.51","Russian Federation","Standard-Classica-Forts","USD","74.63","RUB"
"096530","SEEGENE INC","Health Care","Equity","74,807.83","0.04","74,807.83","457.00","-","KR7096530001","B679Q36","163.76","Korea (South)","Korea Exchange (Kosdaq)","USD","1,097.35","KRW"
"GAIL","GAIL INDIA LTD","Utilities","Equity","74,665.06","0.04","74,665.06","40,359.00","S61334058","INE129A01019","6133405","1.85","India","National Stock Exchange Of India","USD","73.39","INR"
"2324","COMPAL ELECTRONICS INC","Information Technology","Equity","74,195.98","0.04","74,195.98","95,123.00","S62257449","TW0002324001","6225744","0.78","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"FALABELLA","FALABELLA SACI SA","Consumer Discretionary","Equity","74,155.19","0.04","74,155.19","18,869.00","S27716729","CLP3880F1085","2771672","3.93","Chile","Santiago Stock Exchange","USD","719.43","CLP"
"966","CHINA TAIPING INSURANCE HLDGS LTD","Financials","Equity","74,134.80","0.04","74,134.80","41,186.00","S62640487","HK0000055878","6264048","1.80","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"AKBNK","AKBANK A","Financials","Equity","74,134.80","0.04","74,134.80","75,648.00","-","TRAAKBNK91N6","B03MN70","0.98","Turkey","Istanbul Stock Exchange","USD","7.47","TRY"
"CENCOSUD","CENCOSUD SA","Consumer Staples","Equity","74,094.01","0.04","74,094.01","36,680.00","-","CL0000000100","B00R3L2","2.02","Chile","Santiago Stock Exchange","USD","719.43","CLP"
"1919","COSCO SHIPPING HOLDINGS LTD H","Industrials","Equity","73,828.88","0.04","73,828.88","55,096.00","-","CNE1000002J7","B0B8Z18","1.34","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"CCRO3","COMPANHIA CONCESSOES RODOVIARIAS S","Industrials","Equity","73,604.54","0.04","73,604.54","31,321.00","S28409704","BRCCROACNOR2","2840970","2.35","Brazil","XBSP","USD","5.50","BRL"
"MOEX","MOSCOW EXCHANGE","Financials","Equity","73,604.54","0.04","73,604.54","34,395.00","-","RU000A0JR4A1","B9GFHQ6","2.14","Russian Federation","Standard-Classica-Forts","USD","74.63","RUB"
"BTOW3","B2W COMPANHIA DIGITAL","Consumer Discretionary","Equity","73,278.22","0.04","73,278.22","5,659.00","-","BRBTOWACNOR8","B1LH3Y1","12.95","Brazil","XBSP","USD","5.50","BRL"
"2105","CHENG SHIN RUBBER INDUSTRY LTD","Consumer Discretionary","Equity","73,053.88","0.04","73,053.88","46,829.00","S61902284","TW0002105004","6190228","1.56","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"1476","ECLAT TEXTILE LTD","Consumer Discretionary","Equity","72,951.91","0.04","72,951.91","4,913.00","S63457832","TW0001476000","6345783","14.85","Taiwan","Taiwan Stock Exchange","USD","27.98","TWD"
"1336","NEW CHINA LIFE INSURANCE COMPANY L","Financials","Equity","72,564.41","0.04","72,564.41","19,046.00","-","CNE100001922","B5730Z1","3.81","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"RNI","REINET INVESTMENTS S.C.A.","Financials","Equity","72,544.01","0.04","72,544.01","3,926.00","-","LU0383812293","BF52QF2","18.48","South Africa","Johannesburg Stock Exchange","USD","15.52","ZAR"
"300015","AIER EYE HOSPITAL GROUP LTD A","Health Care","Equity","72,503.22","0.04","72,503.22","6,514.00","-","CNE100000GR6","BD5CLQ4","11.13","China","Shenzhen Stock Exchange","USD","6.48","CNY"
"SIMEPLT","SIME DARBY PLANTATION","Consumer Staples","Equity","72,360.46","0.04","72,360.46","56,093.00","-","MYL5285OO001","BF6RHY2","1.29","Malaysia","Bursa Malaysia","USD","4.05","MYR"
"LPP","LPP SA","Consumer Discretionary","Equity","71,483.49","0.03","71,483.49","33.00","S71279798","PLLPP0000011","7127979","2,136.95","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.72","PLN"
"000002","CHINA VANKE LTD A","Real Estate","Equity","71,340.72","0.03","71,340.72","15,509.00","-","CNE0000000T2","BD5CPW8","4.60","China","Shenzhen Stock Exchange","USD","6.48","CNY"
"KIO","KUMBA IRON ORE LTD","Materials","Equity","71,055.20","0.03","71,055.20","1,638.00","S4341C103","ZAE000085346","B1G4262","43.39","South Africa","Johannesburg Stock Exchange","USD","15.52","ZAR"
"HMPRO.R","HOME PRODUCT CENTER NON-VOTING DR","Consumer Discretionary","Equity","70,973.62","0.03","70,973.62","157,719.00","S64185556","TH0661010R17","6418555","0.45","Thailand","Stock Exchange Of Thailand","USD","30.13","THB"
"BVT","BIDVEST GROUP LTD","Industrials","Equity","70,606.51","0.03","70,606.51","7,005.00","S1201R162","ZAE000117321","6100089","10.08","South Africa","Johannesburg Stock Exchange","USD","15.52","ZAR"
