Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"EUR","EUR/USD","Cash and/or Derivatives","Forwards","1,614,786.50","0.32","1,614,786.50","1,614,787.00","-","-","-","1.00","United States","-","USD","1.00","USD"
"UG","PEUGEOT SA","Consumer Discretionary","Equity","1,614,413.93","0.32","1,614,413.93","57,823.00","S71035265","FR0000121501","7103526","27.92","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"CON","CONTINENTAL AG","Consumer Discretionary","Equity","1,553,013.61","0.31","1,553,013.61","10,817.00","S45985892","DE0005439004","4598589","143.57","Germany","Xetra","USD","0.81","EUR"
"REP","REPSOL SA","Energy","Equity","1,540,470.54","0.31","1,540,470.54","143,701.00","S56693542","ES0173516115","5669354","10.72","Spain","Bolsa De Madrid","USD","0.81","EUR"
"SRT3","SARTORIUS PREF AG","Health Care","Equity","1,520,138.63","0.30","1,520,138.63","3,496.00","S58433293","DE0007165631","5843329","434.84","Germany","Xetra","USD","0.81","EUR"
"TKWY","JUST EAT TAKEAWA NV","Consumer Discretionary","Equity","1,474,063.10","0.29","1,474,063.10","12,427.00","-","NL0012015705","BYQ7HZ6","118.62","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"ENR","SIEMENS ENERGY N AG","Industrials","Equity","1,451,657.54","0.29","1,451,657.54","39,298.00","-","DE000ENER6Y0","BMTVQK9","36.94","Germany","Xetra","USD","0.81","EUR"
"ALO","ALSTOM SA","Industrials","Equity","1,430,516.41","0.28","1,430,516.41","24,533.00","-","FR0010220475","B0DJ8Q5","58.31","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"ACA","CREDIT AGRICOLE SA","Financials","Equity","1,428,442.76","0.28","1,428,442.76","113,459.00","S72626104","FR0000045072","7262610","12.59","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"SHL","SIEMENS HEALTHINEERS AG","Health Care","Equity","1,396,983.94","0.28","1,396,983.94","26,428.00","-","DE000SHL1006","BD594Y4","52.86","Germany","Xetra","USD","0.81","EUR"
"EDEN","EDENRED SA","Information Technology","Equity","1,378,017.61","0.27","1,378,017.61","23,911.00","-","FR0010908533","B62G1B5","57.63","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"MTX","MTU AERO ENGINES HOLDING AG","Industrials","Equity","1,355,966.09","0.27","1,355,966.09","5,217.00","-","DE000A0D9PT0","B09DHL9","259.89","Germany","Xetra","USD","0.81","EUR"
"UCB","UCB SA","Health Care","Equity","1,312,925.17","0.26","1,312,925.17","12,429.00","S55969919","BE0003739530","5596991","105.63","Belgium","Nyse Euronext - Euronext Brussels","USD","0.81","EUR"
"VIE","VEOLIA ENVIRON. SA","Utilities","Equity","1,302,405.18","0.26","1,302,405.18","52,986.00","S40318792","FR0000124141","4031879","24.58","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"ARGX","ARGENX","Health Care","Equity","1,293,351.92","0.26","1,293,351.92","4,390.00","-","NL0010832176","BNHKYX4","294.64","Belgium","Nyse Euronext - Euronext Brussels","USD","0.81","EUR"
"CNHI","CNH INDUSTRIAL NV","Industrials","Equity","1,273,576.36","0.25","1,273,576.36","100,598.00","-","NL0010545661","BDSV2V0","12.66","Italy","Borsa Italiana","USD","0.81","EUR"
"FER","FERROVIAL SA","Industrials","Equity","1,266,596.75","0.25","1,266,596.75","47,138.00","-","ES0118900010","B038516","26.87","Spain","Bolsa De Madrid","USD","0.81","EUR"
"NN","NN GROUP NV","Financials","Equity","1,249,147.72","0.25","1,249,147.72","28,345.00","-","NL0010773842","BNG8PQ9","44.07","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","1,244,140.00","0.25","1,244,140.00","8,255.00","-","-","-","150.72","European Union","-","USD","0.81","EUR"
"BNR","BRENNTAG AG","Industrials","Equity","1,205,145.84","0.24","1,205,145.84","15,192.00","-","DE000A1DAHH0","B4YVF56","79.33","Germany","Xetra","USD","0.81","EUR"
"HFG","HELLOFRESH","Consumer Discretionary","Equity","1,202,515.84","0.24","1,202,515.84","14,511.00","-","DE000A161408","BYWH8S0","82.87","Germany","Xetra","USD","0.81","EUR"
"QIA","QIAGEN NV","Health Care","Equity","1,184,308.17","0.23","1,184,308.17","22,434.00","-","NL0012169213","BYXS699","52.79","Germany","Xetra","USD","0.81","EUR"
"ERF","EUROFINS SCIENTIFIC","Health Care","Equity","1,174,142.21","0.23","1,174,142.21","12,970.00","-","FR0014000MR3","BNDPYV1","90.53","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"BEI","BEIERSDORF AG","Consumer Staples","Equity","1,145,819.16","0.23","1,145,819.16","9,908.00","S51074011","DE0005200000","5107401","115.65","Germany","Xetra","USD","0.81","EUR"
"MONC","MONCLER","Consumer Discretionary","Equity","1,136,867.06","0.23","1,136,867.06","19,046.00","-","IT0004965148","BGLP232","59.69","Italy","Borsa Italiana","USD","0.81","EUR"
"1COV","COVESTRO AG","Materials","Equity","1,135,956.67","0.23","1,135,956.67","18,045.00","-","DE0006062144","BYTBWY9","62.95","Germany","Xetra","USD","0.81","EUR"
